"Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,72.8979,4.95,36443.46"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",132,72.95,4.95,9634.35"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",132,73.25,4.95,9663.9"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,73.15,4.95,36579.95"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",400,72.281,0.0000,28911.97"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",100,72.29,4.95,7223.94"
"1/2/2019,Buy,TQQQ,74347X831,""PROSHARES TRUST               ULTRAPRO QQQ                  PROSPECTUS ON INITIAL PURCHASE"",1000,37.4577,4.95,37462.65"
"1/2/2019,Sell,TQQQ,74347X831,""PROSHARES TRUST               ULTRAPRO QQQ"",1000,37.2601,4.95,37254.54"
"1/2/2019,Buy,DGAZ,22542D282,""***CREDIT SUISSE AG           VELOCITYSHS 3X INVRSE NATRL   GAS ETN LKD TO S&P GSCI NATURLPROSPECTUS ON INITIAL PURCHASE"",100,120.31,4.95,12035.95"
"1/3/2019,Sell,DGAZ,22542D282,""***CREDIT SUISSE AG           VELOCITYSHS 3X INVRSE NATRL   GAS ETN LKD TO S&P GSCI NATURL"",100,125.7947,4.95,12574.34"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,70.3,4.95,35154.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,70.0231,4.95,35006.08"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,70.2,4.95,35104.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,69.9043,4.95,34946.68"
"1/3/2019,Buy,TQQQ,74347X831,""PROSHARES TRUST               ULTRAPRO QQQ                  PROSPECTUS ON INITIAL PURCHASE"",1000,36.05,4.95,36054.95"
"1/3/2019,Sell,TQQQ,74347X831,""PROSHARES TRUST               ULTRAPRO QQQ"",1000,35.92,4.95,35914.46"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,72.45,4.95,72454.95"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,70.1,4.95,35054.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,70.35,4.95,35169.53"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,72.5986,4.95,72592.58"
"1/3/2019,Buy,INCY,45337C102,""INCYTE CORPORATION            FORMERLY INCYTE GENOMICS INC"",400,67.9,4.95,27164.95"
"1/3/2019,Sell,INCY,45337C102,""INCYTE CORPORATION            FORMERLY INCYTE GENOMICS INC"",400,67.2,4.95,26874.65"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,70.6,4.95,35304.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",300,70.38,0.0000,21113.68"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",200,70.351,4.95,14065.04"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,71,4.95,35504.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,71.3,4.95,35644.52"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,71.5,4.95,35754.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,71.8,4.95,35894.52"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,73.4,4.95,73404.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,73.55,4.95,73543.97"
"1/3/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,73.6,4.95,73604.95"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",100,73.3787,0.0000,7337.76"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",100,73.363,4.95,7331.24"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",100,73.3792,0.0000,7337.81"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,73.3721,0.0000,36685.51"
"1/3/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",100,73.3795,0.0000,7337.84"
